"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2009,1,1,"caballa","industrial","MATARANI","723350W","173430S",1000,5,400,NA
2008,12,28,"caballa","industrial","ILO","722500W","172500S",58500,6,900,NA
2008,12,26,"caballa","industrial","ILO","740500W","164000S",87500,8,1000,NA
2008,12,26,"caballa","industrial","PUCUSANA","780202W","131230S",198000,10,1500,NA
2008,12,26,"caballa","industrial","PUCUSANA","775100W","132004S",163300,14,1500,NA
2008,12,27,"caballa","industrial","ILO","720524W","183642S",27000,8,850,NA
2008,12,31,"caballa","industrial","MORRO SAMA","705500W","182500S",31500,5,500,NA
2008,12,31,"caballa","industrial","MORRO SAMA","713300W","180800S",6000,6,600,NA
2008,12,31,"caballa","industrial","MATARANI","724530W","173030S",12600,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",35000,3,400,NA
2008,12,27,"caballa","industrial","ILO","720000W","183000S",13500,6,900,NA
2008,12,28,"caballa","industrial","ILO","715854W","182500S",36000,5,800,NA
2008,12,26,"caballa","industrial","ILO","723000W","185148S",77500,8,1000,NA
2008,12,25,"caballa","industrial","PAITA","835000W","075000S",50000,30,900,NA
2008,12,28,"caballa","industrial","SALAVERRY","795000W","103000S",209000,22,1500,NA
2008,12,28,"caballa","industrial","SALAVERRY","804000W","091500S",75200,12,1800,NA
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","112000S",585000,15,2350,NA
2008,12,28,"caballa","industrial","CHIMBOTE","793000W","104000S",50000,10,1500,NA
2008,12,28,"caballa","industrial","CHIMBOTE","802000W","112000S",156000,18,2300,NA
2008,12,31,"caballa","industrial","ATICO","740120W","165756S",34000,4,600,NA
2009,1,1,"caballa","industrial","MATARANI","724500W","172900S",22000,3,400,NA
2009,1,1,"caballa","industrial","MATARANI","724300W","172356S",43500,2.5,400,NA
2009,1,1,"caballa","industrial","MATARANI","730000W","172300S",32400,6,600,NA
2008,12,31,"caballa","industrial","MATARANI","725748W","171904S",24000,5,400,NA
2009,1,1,"caballa","industrial","MATARANI","723350W","173430S",55200,4,400,NA
2009,1,1,"caballa","industrial","LA PLANCHADA","740600W","172700S",73200,4,600,NA
2008,12,31,"caballa","industrial","ILO","714145W","180615S",8700,4,400,NA
2008,12,28,"caballa","industrial","ILO","733900W","165600S",0,10,1000,NA
2008,12,28,"caballa","industrial","ILO","720524W","183642S",75000,6,900,NA
2008,12,27,"caballa","industrial","PUCUSANA","781554W","131847S",70000,6,1500,NA
2008,12,30,"caballa","industrial","ILO","721300W","183830S",49300,8,1000,NA
2008,12,26,"caballa","industrial","ILO","740600W","172700S",50000,6,800,NA
2008,12,30,"caballa","industrial","ILO","723000W","173300S",11700,4,550,NA
2008,12,31,"caballa","industrial","MORRO SAMA","711000W","181800S",51000,4,800,NA
2008,12,24,"caballa","industrial","PAITA","845000W","072000S",55480,15,1000,NA
2008,12,26,"caballa","industrial","PAITA","843000W","071500S",113442,15,1000,NA
2008,12,26,"caballa","industrial","CHIMBOTE","801000W","101500S",268800,12,2500,NA
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","103000S",198000,15,2300,NA
2009,1,1,"caballa","industrial","MATARANI","724300W","172356S",19600,3,400,NA
2009,1,1,"caballa","industrial","MATARANI","730000W","172300S",41400,3,400,NA
2008,12,27,"caballa","industrial","PUCUSANA","775126W","132100S",92000,6,1500,NA
2008,12,27,"caballa","industrial","PAITA","833000W","075500S",42000,25,1000,NA
2008,12,29,"caballa","industrial","SALAVERRY","803000W","100000S",238000,12,1700,NA
2008,12,29,"caballa","industrial","PUCUSANA","781225W","131508S",124000,12,1500,NA
2009,1,1,"caballa","industrial","MATARANI","724000W","175000S",12800,2.5,400,NA
2009,1,1,"caballa","industrial","ATICO","744452W","165520S",62000,10,500,NA
2009,1,4,"caballa","industrial","ATICO","743818W","164904S",16000,4,400,NA
2009,1,1,"caballa","industrial","LA PLANCHADA","734056W","170302S",28500,4,350,NA
2009,1,2,"caballa","industrial","MATARANI","720800W","180800S",1810,4,500,NA
2009,1,3,"caballa","industrial","MATARANI","735206W","163003S",33660,3,400,NA
2009,1,2,"caballa","industrial","MATARANI","722200W","173000S",15770,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","720430W","172750S",22608,4,450,NA
2009,1,2,"caballa","industrial","LA PLANCHADA","734530W","170350S",48204,3,700,NA
2009,1,2,"caballa","industrial","LA PLANCHADA","730818W","171100S",9100,4,450,NA
2009,1,1,"caballa","industrial","ATICO","741500W","170100S",39600,6,400,NA
2008,12,29,"caballa","industrial","PUCUSANA","775218W","132106S",58500,8,1500,NA
2009,1,1,"caballa","industrial","ILO","723000W","173300S",90000,4,750,NA
2008,12,29,"caballa","industrial","ILO","724530W","173030S",57600,10,1000,NA
2008,12,30,"caballa","industrial","PUCUSANA","781937W","131822S",24000,14,1500,NA
2009,1,2,"caballa","industrial","MORRO SAMA","711000W","181800S",85000,3,800,NA
2009,1,3,"caballa","industrial","MORRO SAMA","711000W","181800S",104400,3.5,500,NA
2008,12,31,"caballa","industrial","ILO","714018W","180130S",5100,5,200,NA
2009,1,1,"caballa","industrial","ILO","721300W","183830S",50000,3.5,700,NA
2009,1,3,"caballa","industrial","MORRO SAMA","711400W","182200S",7200,3,600,NA
2008,12,29,"caballa","industrial","CHIMBOTE","800000W","103000S",132000,12,2300,NA
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","110000S",504000,12,2700,NA
2008,12,28,"caballa","industrial","CHIMBOTE","794500W","104500S",288000,12,2300,NA
2009,1,2,"caballa","industrial","MATARANI","721600W","174200S",36800,3,400,NA
2009,1,4,"caballa","industrial","MATARANI","721630W","171030S",14040,3,300,NA
2009,1,2,"caballa","industrial","MATARANI","721300W","173730S",22334,4,450,NA
2008,12,29,"caballa","industrial","PUCUSANA","781348W","131644S",30000,10,1500,NA
2008,12,30,"caballa","industrial","ILO","721900W","184800S",31200,4,600,NA
2008,12,26,"caballa","industrial","CHIMBOTE","813000W","095000S",232000,10,1800,NA
2009,1,3,"caballa","industrial","SALAVERRY","803000W","084000S",30000,6,1700,NA
2009,1,3,"caballa","industrial","SALAVERRY","800500W","094000S",4000,6,1300,NA
2008,12,30,"caballa","industrial","CHIMBOTE","795000W","114000S",81600,14,2500,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","731600W","171900S",0,4,550,NA
2009,1,2,"caballa","industrial","ATICO","741002W","163742S",105000,4,600,NA
2009,1,2,"caballa","industrial","ATICO","744452W","165520S",25200,4,500,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","735354W","171036S",39760,4,450,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","735354W","171036S",115700,8,1000,NA
2009,1,4,"caballa","industrial","MATARANI","735206W","163003S",66300,8,400,NA
2009,1,2,"caballa","industrial","LA PLANCHADA","734700W","170400S",42900,4,700,NA
2009,1,2,"caballa","industrial","MATARANI","721900W","171400S",36000,3,500,NA
2009,1,2,"caballa","industrial","MATARANI","721402W","173844S",21700,7,700,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","734242W","171625S",154100,5,600,NA
2009,1,4,"caballa","industrial","LA PLANCHADA","734242W","171625S",125800,10,1300,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","734110W","170350S",27200,7,500,NA
2009,1,3,"caballa","industrial","MATARANI","740000W","172400S",44400,3,500,NA
2009,1,2,"caballa","industrial","ILO","715224W","181700S",87500,7,1000,NA
2009,1,1,"caballa","industrial","PUCUSANA","775730W","131100S",12800,8,700,NA
2009,1,4,"caballa","industrial","MORRO SAMA","711400W","182200S",10800,4,650,NA
2009,1,2,"caballa","industrial","ILO","714748W","180812S",118800,4,600,NA
2009,1,4,"caballa","industrial","ILO","714018W","180130S",24000,3,400,NA
2009,1,3,"caballa","industrial","ILO","713500W","175900S",29000,6,400,NA
2009,1,3,"caballa","industrial","MORRO SAMA","711000W","181800S",17500,4,700,NA
2009,1,3,"caballa","industrial","ILO","715800W","174900S",7500,5,300,NA
2009,1,4,"caballa","industrial","MORRO SAMA","711400W","182200S",30600,10,560,NA
2009,1,2,"caballa","industrial","ILO","715730W","181924S",44100,6,750,NA
2008,12,28,"caballa","industrial","CHIMBOTE","810000W","073000S",75000,8,1500,NA
2009,1,2,"caballa","industrial","CHIMBOTE","793000W","103000S",301000,10,1800,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","733842W","165545S",76050,4,700,NA
2009,1,3,"caballa","industrial","MATARANI","722500W","172500S",54610,3,400,NA
2009,1,4,"caballa","industrial","MORRO SAMA","711000W","181800S",6000,4,500,NA
2009,1,2,"caballa","industrial","ILO","720000W","183000S",66000,6,700,NA
2009,1,2,"caballa","industrial","SALAVERRY","801000W","093000S",42000,6,1300,NA
